Year,Month_Name,Region,SalesOfficeCode,SalesOffice_Name,Segment,SKU_Code,Demand
2022,April,Pon,P001,West Bengal,03 Litre,AIWH-3LRPIDJT3KW5Y,36
2022,April,Pon,P001,West Bengal,06 Litre,ASWH-3006,22
2022,April,Pon,P001,West Bengal,06 Litre,ASWH-6LRPDJT2KW,14
2022,April,Pon,P001,West Bengal,10 Litre,ASWH-2410,2
2022,April,Pon,P001,West Bengal,10 Litre,ASWH-2910,15
2022,April,Pon,P001,West Bengal,10 Litre,ASWH-3010,25
2022,April,Pon,P001,West Bengal,10 Litre,ASWH-3510,15
2022,April,Pon,P001,West Bengal,15 Litre,ASWH-3015,20
2022,April,Pon,P001,West Bengal,25 Litre,ASWH-2025,6
2022,April,Pon,P001,West Bengal,25 Litre,ASWH-2925,2
2022,April,Pon,P001,West Bengal,25 Litre,ASWH-3025,37
2022,April,Pon,P001,West Bengal,Desert Cooler,ACGC-CBDAC40,18
2022,April,Pon,P001,West Bengal,Desert Cooler,ACGC-DAC555,15
2022,April,Pon,P001,West Bengal,Desert Cooler,ACGC-DAC751,2
2022,April,Pon,P001,West Bengal,Desert Cooler,ACGC-GALEDAC60,100
2022,April,Pon,P001,West Bengal,Desert Cooler,ACGC-ZELUSDAC28,35
2022,April,Pon,P001,West Bengal,Desert Cooler,ACGC-ZELUSDAC43,228
2022,April,Pon,P001,West Bengal,Personal Cooler,ACGC-GINIE NEO,224
2022,April,Pon,P001,West Bengal,Personal Cooler,ACGC-JEDIPAC16,174
2022,April,Pon,P001,West Bengal,Personal Cooler,ACGC-JEDIPAC22,31
2022,April,Pon,P001,West Bengal,Personal Cooler,ACGC-JEDIPAC35,111
2022,April,Pon,P001,West Bengal,Personal Cooler,ACGC-MARVELNEO40,7
2022,April,Pon,P001,West Bengal,Tower Cooler,ACGC-OPTIMUSNEO27,34
2022,April,Pon,P001,West Bengal,Tower Cooler,ACGC-OPTIMUSNEO35,93
2022,April,Pon,P001,West Bengal,Window Cooler,ACGC-OPTIPRIME70,25
2022,April,Pon,P001,West Bengal,nan,S-AG1314CMHTEL,1
2022,April,Pon,P001,West Bengal,nan,S-AGCOMSTD22,6
2022,April,Pon,P001,West Bengal,nan,S-AGCOMSTD70,3
2022,April,Pon,P001,West Bengal,nan,S-AMICACAPTHRMO,3
2022,April,Pon,P001,West Bengal,nan,S-AMICAHEATINGELE,1
2022,April,Pon,P001,West Bengal,nan,S-REGLOHTGELE1525L,2
2022,April,Pon,P001,West Bengal,nan,S-RPIDJET3KWTHRM,3
2022,April,Pon,P002,Assam,03 Litre,AIWH-3LRPJPL3KW5Y,12
2022,April,Pon,P002,Assam,03 Litre,AIWH-3LSOLNEO3KW5Y,4
2022,April,Pon,P002,Assam,06 Litre,ASWH-3006,11
2022,April,Pon,P002,Assam,06 Litre,ASWH1606,24
2022,April,Pon,P002,Assam,10 Litre,ASWH-2010,-7
2022,April,Pon,P002,Assam,10 Litre,ASWH-2410,20
2022,April,Pon,P002,Assam,10 Litre,ASWH-3010,12
2022,April,Pon,P002,Assam,10 Litre,ASWH1410-WHT/BRW,-1
2022,April,Pon,P002,Assam,10 Litre,ASWH1610,11
